"URL_ID","URL","POSITIVE SCORE","NEGATIVE SCORE","POLARITY SCORE","SUBJECTIVITY SCORE","AVG SENTENCE LENGTH","PERCENTAGE OF COMPLEX WORDS","FOG INDEX","COMPLEX WORD COUNT","WORD COUNT","SYLLABLE PER WORD","PERSONAL PRONOUNS","AVG WORD LENGTH"
"bctech2081","https://insights.blackcoffer.com/return-on-advertising-spend-dashboard-marketing-automation-and-analytics-using-etl-and-dashboard/","32","5","0.72972971000731","0.060655737605482","16.052631578947","0.35409836065574","6.5626919758412","216","610","2.2377049180328","8","7.2918032786885"
"bctech2082","https://insights.blackcoffer.com/ranking-customer-behaviours-for-business-strategy/","13","3","0.6249999609375","0.055363321607739","32.111111111111","0.30795847750865","12.967627835448","89","289","2.121107266436","4","6.923875432526"
"bctech2083","https://insights.blackcoffer.com/algorithmic-trading-for-multiple-commodities-markets-like-forex-metals-energy-etc/","16","1","0.88235288927336","0.047619047485661","17.85","0.32212885154062","7.2688515406162","115","357","2.1736694677871","3","7.0924369747899"
"bctech2084","https://insights.blackcoffer.com/trading-bot-for-forex/","9","2","0.6363635785124","0.05699481835754","32.166666666667","0.33678756476684","13.001381692573","65","193","2.2072538860104","3","7.1658031088083"
"bctech2085","https://insights.blackcoffer.com/python-model-for-the-analysis-of-sector-specific-stock-etfs-for-investment-purposes%ef%bf%bc/","15","3","0.66666662962963","0.05521472375701","18.111111111111","0.33742331288344","7.3794137695978","110","326","2.1779141104294","6","7.058282208589"
"bctech2086","https://insights.blackcoffer.com/medical-classification/","15","3","0.66666662962963","0.057324840581768","19.625","0.31210191082803","7.9748407643312","98","314","2.187898089172","7","7.0286624203822"
"bctech2087","https://insights.blackcoffer.com/design-develop-bert-question-answering-model-explanations-with-visualization/","9","1","0.79999992000001","0.044843049126264","27.875","0.34529147982063","11.288116591928","77","223","2.2690582959641","4","7.3766816143498"
"bctech2088","https://insights.blackcoffer.com/design-and-develop-solution-to-anomaly-detection-classification-problems/","9","8","0.058823525951557","0.067460317192618","19.384615384615","0.34126984126984","7.8903540903541","86","252","2.3015873015873","7","7.3293650793651"
"bctech2089","https://insights.blackcoffer.com/an-etl-solution-for-currency-data-to-google-big-query/","9","13","-0.18181817355372","0.071661237551592","19.1875","0.23778501628664","7.7701140065147","73","307","1.9934853420195","13","6.671009771987"
"bctech2090","https://insights.blackcoffer.com/etl-and-mlops-infrastructure-for-blockchain-analytics/","9","1","0.79999992000001","0.030211480271264","30.090909090909","0.29909365558912","12.156001098599","99","331","2.0996978851964","2","6.9818731117825"
"bctech2091","https://insights.blackcoffer.com/an-agent-based-model-of-a-virtual-power-plant-vpp/","9","1","0.79999992000001","0.052356020668293","27.285714285714","0.3717277486911","11.062976813762","71","191","2.3089005235602","2","7.2460732984293"
"bctech2092","https://insights.blackcoffer.com/transform-api-into-sdk-library-and-widget/","18","2","0.79999996","0.078740157170314","31.75","0.32283464566929","12.829133858268","82","254","2.2165354330709","3","7.1653543307087"
"bctech2093","https://insights.blackcoffer.com/integration-of-a-product-to-a-cloud-based-crm-platform/","15","7","0.36363634710744","0.069841269619552","15","0.3047619047619","6.1219047619048","96","315","2.1460317460317","3","7.1746031746032"
"bctech2094","https://insights.blackcoffer.com/a-web-based-dashboard-for-the-filtered-data-retrieval-of-land-records/","20","4","0.66666663888889","0.0701754383913","19","0.26315789473684","7.7052631578947","90","342","2.0643274853801","2","7.0175438596491"
"bctech2095","https://insights.blackcoffer.com/integration-of-video-conferencing-data-to-the-existing-web-app/","9","1","0.79999992000001","0.03496503484278","23.833333333333","0.3041958041958","9.6550116550117","87","286","2.1713286713287","2","7.1363636363636"
"bctech2096","https://insights.blackcoffer.com/design-develop-an-app-in-retool-which-shows-the-progress-of-the-added-video/","10","1","0.81818174380166","0.05392156836313","34","0.33823529411765","13.735294117647","69","204","2.2058823529412","4","7.0588235294118"
"bctech2097","https://insights.blackcoffer.com/auvik-connectwise-integration-in-grafana/","10","3","0.53846149704142","0.050781249801636","18.285714285714","0.3046875","7.4361607142857","78","256","2.16015625","2","7.11328125"
